"doi";"version";"url";"disqus_thread_id";"comments_count";"year";"comments";"Year"
"10.1101/2020.12.27.20248896";"v2";"https://www.medrxiv.org/content/10.1101/2020.12.27.20248896v2?versioned=true";"8372121578";2;"10.1101/2020";4;2020
"10.1101/2020.10.19.20215392";"v6";"https://www.medrxiv.org/content/10.1101/2020.10.19.20215392v6?versioned=true";"8368257105";1;"10.1101/2020";2;2020
"10.1101/2020.10.19.20215392";"v5";"https://www.medrxiv.org/content/10.1101/2020.10.19.20215392v5?versioned=true";"8362010985";1;"10.1101/2020";2;2020
"10.1101/2020.08.26.20182824";"v3";"https://www.medrxiv.org/content/10.1101/2020.08.26.20182824v3?versioned=true";"8352530851";1;"10.1101/2020";10;2020
"10.1101/2020.09.29.20203869";"v4";"https://www.medrxiv.org/content/10.1101/2020.09.29.20203869v4?versioned=true";"8349213776";1;"10.1101/2020";1;2020
"10.1101/2020.12.16.20248134";"v2";"https://www.medrxiv.org/content/10.1101/2020.12.16.20248134v2?versioned=true";"8347603989";1;"10.1101/2020";5;2020
"10.1101/2020.10.29.20220426";"v2";"https://www.medrxiv.org/content/10.1101/2020.10.29.20220426v2?versioned=true";"8345128750";1;"10.1101/2020";3;2020
"10.1101/2020.12.31.20249099";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.31.20249099v1?versioned=true";"8343625880";1;"10.1101/2020";1;2020
"10.1101/2020.12.31.20249101";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.31.20249101v1?versioned=true";"8342089364";1;"10.1101/2020";1;2020
"10.1101/2020.12.30.20248890";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.30.20248890v1?versioned=true";"8342021157";1;"10.1101/2020";1;2020
"10.1101/2020.12.28.20248936";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.28.20248936v1?versioned=true";"8342020927";1;"10.1101/2020";1;2020
"10.1101/2020.12.28.20248950";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.28.20248950v1?versioned=true";"8341937497";1;"10.1101/2020";1;2020
"10.1101/2020.11.27.20240051";"v2";"https://www.medrxiv.org/content/10.1101/2020.11.27.20240051v2?versioned=true";"8340477515";1;"10.1101/2020";1;2020
"10.1101/2020.12.27.20248903";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.27.20248903v1?versioned=true";"8340423739";1;"10.1101/2020";1;2020
"10.1101/2020.12.27.20248896";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.27.20248896v1?versioned=true";"8340421750";2;"10.1101/2020";4;2020
"10.1101/2020.12.26.20248861";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.26.20248861v1?versioned=true";"8340400103";2;"10.1101/2020";2;2020
"10.1101/2020.12.25.20248853";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.25.20248853v1?versioned=true";"8336987881";3;"10.1101/2020";3;2020
"10.1101/2020.12.24.20248802";"v2";"https://www.medrxiv.org/content/10.1101/2020.12.24.20248802v2?versioned=true";"8332400620";4;"10.1101/2020";4;2020
"10.1101/2020.12.24.20248834";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.24.20248834v1?versioned=true";"8331872678";4;"10.1101/2020";4;2020
"10.1101/2020.12.23.20248425";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.23.20248425v1?versioned=true";"8330699535";1;"10.1101/2020";1;2020
"10.1101/2020.12.21.20248121";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.21.20248121v1?versioned=true";"8328945006";1;"10.1101/2020";1;2020
"10.1101/2020.12.19.20248513";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.19.20248513v1?versioned=true";"8326383971";3;"10.1101/2020";3;2020
"10.1101/2020.12.22.20248713";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.22.20248713v1?versioned=true";"8326367813";5;"10.1101/2020";5;2020
"10.1101/2020.12.16.20246678";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.16.20246678v1?versioned=true";"8326295043";1;"10.1101/2020";1;2020
"10.1101/2020.12.18.20248255";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.18.20248255v1?versioned=true";"8326025865";1;"10.1101/2020";1;2020
"10.1101/2020.09.08.20190975";"v3";"https://www.medrxiv.org/content/10.1101/2020.09.08.20190975v3?versioned=true";"8325844730";1;"10.1101/2020";2;2020
"10.1101/2020.10.06.20207530";"v5";"https://www.medrxiv.org/content/10.1101/2020.10.06.20207530v5?versioned=true";"8323557535";1;"10.1101/2020";1;2020
"10.1101/2020.12.18.20248477";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.18.20248477v1?versioned=true";"8323152794";1;"10.1101/2020";1;2020
"10.1101/2020.12.18.20248336";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.18.20248336v1?versioned=true";"8323142350";1;"10.1101/2020";1;2020
"10.1101/2020.12.17.20248401";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.17.20248401v1?versioned=true";"8322845166";1;"10.1101/2020";1;2020
"10.1101/2020.12.10.20247205";"v4";"https://www.medrxiv.org/content/10.1101/2020.12.10.20247205v4?versioned=true";"8322792672";2;"10.1101/2020";3;2020
"10.1101/2020.12.16.20248316";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.16.20248316v1?versioned=true";"8321239546";1;"10.1101/2020";1;2020
"10.1101/2020.12.16.20248134";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.16.20248134v1?versioned=true";"8321232903";4;"10.1101/2020";5;2020
"10.1101/2020.12.15.20247981";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.15.20247981v1?versioned=true";"8321147971";1;"10.1101/2020";1;2020
"10.1101/2020.12.15.20247031";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.15.20247031v1?versioned=true";"8317873143";1;"10.1101/2020";1;2020
"10.1101/2020.12.14.20248182";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.14.20248182v1?versioned=true";"8317826853";1;"10.1101/2020";1;2020
"10.1101/2020.12.14.20248101";"v1";"https://www.medrxiv.org/content/10.1101/2020.12.14.20248101v1?versioned=true";"8317826534";1;"10.1101/2020";1;2020
"10.1101/2020.08.14.20175257";"v3";"https://www.medrxiv.org/content/10.1101/2020.08.14.20175257v3?versioned=true";"8317331334";2;"10.1101/2020";2;2020
